City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,4.27,92,100,4.32,TF,1711919911
1,bad salzungen,50.8167,10.2333,13.19,83,99,0.71,DE,1711919911
2,ulsteinvik,62.3432,5.8487,6.61,95,96,0.45,NO,1711919911
3,ushuaia,-54.8,-68.3,5.81,56,40,9.26,AR,1711919660
4,tiksi,71.6872,128.8694,-8.78,84,100,8.89,RU,1711919912
5,daru,-9.0763,143.2092,25.92,91,99,2.97,PG,1711919912
6,adamstown,-25.066,-130.1015,23.29,68,100,12.33,PN,1711919912
7,colonia,50.9333,6.95,12.76,86,0,6.17,DE,1711919912
8,punta arenas,-53.15,-70.9167,7.06,70,40,6.69,CL,1711919613
9,waitangi,-43.9535,-176.5597,14.34,96,99,2.68,NZ,1711919913
10,sumbawa besar,-8.5,117.4333,23.67,95,71,1.94,ID,1711919913
11,mount isa,-20.7333,139.5,20.87,94,20,0.0,AU,1711919913
12,udachny,66.4167,112.4,-14.98,97,92,3.31,RU,1711919913
13,santa vitoria do palmar,-33.5189,-53.3681,16.84,80,100,5.85,BR,1711919913
14,khovd,48.0056,91.6419,-0.02,47,100,1.4,MN,1711919914
15,albany,42.6001,-73.9662,11.62,48,79,1.79,US,1711919444
16,isafjordur,66.0755,-23.124,-5.73,78,98,10.46,IS,1711919914
17,puerto natales,-51.7236,-72.4875,10.25,53,75,11.32,CL,1711919914
18,st. john's,47.5649,-52.7093,4.94,78,100,2.24,CA,1711919849
19,bethel,41.3712,-73.414,16.17,38,0,2.06,US,1711919678
20,san patricio,28.017,-97.5169,28.97,64,100,7.28,US,1711919915
21,lompoc,34.6391,-120.4579,18.12,64,20,5.14,US,1711919676
22,nikolayevsk-on-amure,53.1406,140.73,-2.27,97,100,1.65,RU,1711919915
23,atafu village,-8.5421,-172.5159,29.22,77,99,6.04,TK,1711919915
24,avarua,-21.2078,-159.775,29.03,70,20,5.14,CK,1711919915
